id,name,gender,type,category_id,category_name
sr:competition:3583,"ATP Challenger Cordenons, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3587,"ATP Challenger Granby, Canada Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3589,"ATP Challenger Granby, Canada Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3599,"ATP Challenger Lexington, USA Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3601,"ATP Challenger Lexington, USA Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3605,"ATP Challenger Lugano, Switzerland Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3609,"ATP Challenger Marburg, Germany Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3611,"ATP Challenger Marburg, Germany Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3615,"ATP Challenger Milan, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3617,"ATP Challenger Milan, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3643,"ATP Challenger Poznan, Poland Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3645,"ATP Challenger Poznan, Poland Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3649,"ATP Challenger Pozoblanco, Spain Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3651,"ATP Challenger Pozoblanco, Spain Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3655,"ATP Challenger Recanati, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3657,"ATP Challenger Recanati, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3669,"ATP Challenger San Benedetto, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3671,"ATP Challenger San Benedetto, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3675,"ATP Challenger Scheveningen, Netherlands Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3677,"ATP Challenger Scheveningen, Netherlands Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3681,"ATP Challenger Tampere, Finland Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3683,"ATP Challenger Tampere, Finland Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3687,"ATP Challenger Turin, Italy Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3689,"ATP Challenger Turin, Italy Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3693,"ATP Challenger Winnetka, USA Men Singles",men,singles,sr:category:72,Challenger
sr:competition:3695,"ATP Challenger Winnetka, USA Men Doubles",men,doubles,sr:category:72,Challenger
sr:competition:3709,"ATP Challenger San Marino, San Marino Men Singles",men,singles,sr:category:72,Challenger
